poll_id,pollster_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,race_id,party,candidate_name,pct
88795,1528,Washington Post/George Mason University,2.3,1.8,Online Ad,8.1,Pennsylvania,10/15/24,10/20/24,213382,1373,lv,lv,8759,REP,Donald Trump,58.6
88796,1528,Washington Post/George Mason University,2.9,0.0,Online Ad,6.8,Michigan,10/07/24,10/19/24,213383,1396,lv,lv,8760,REP,Donald Trump,57.8
88797,1528,AtlasIntel,3.0,0.1,Live Phone/Text-to-Web/Email/Mail-to-Web,8.1,North Carolina,10/04/24,10/20/24,213384,2297,rv,rv,8761,REP,Donald Trump,55.6
88798,1528,YouGov,2.6,1.2,Live Phone/Text-to-Web/Email/Mail-to-Web,9.4,North Carolina,10/15/24,10/17/24,213385,1857,lv,lv,8762,DEM,Kamala Harris,45.0
88799,1528,YouGov,3.0,0.9,Online Ad,9.7,North Carolina,10/08/24,10/16/24,213386,1188,lv,lv,8763,REP,Donald Trump,42.5
88800,1528,AtlasIntel,3.3,-2.0,Live Phone/Text-to-Web/Email/Mail-to-Web,8.7,Pennsylvania,10/02/24,10/20/24,213387,801,rv,rv,8764,REP,Kamala Harris,46.8
88801,1528,Washington Post/George Mason University,3.4,0.0,Online Ad,7.5,Nevada,10/07/24,10/16/24,213388,1856,rv,rv,8765,REP,Kamala Harris,58.6
88802,1528,YouGov,3.0,1.0,Online Panel,8.4,Michigan,10/07/24,10/20/24,213389,1781,rv,rv,8766,REP,Kamala Harris,58.8
88803,1528,AtlasIntel,3.1,0.2,Live Phone/Text-to-Web/Email/Mail-to-Web,5.1,Pennsylvania,10/06/24,10/20/24,213390,2222,rv,rv,8767,DEM,Donald Trump,44.3
88804,1528,AtlasIntel,3.3,-1.9,Live Phone/Text-to-Web/Email/Mail-to-Web,6.2,Arizona,10/10/24,10/16/24,213391,1527,rv,rv,8768,REP,Kamala Harris,56.7
88805,1528,Washington Post/George Mason University,3.0,-0.3,Live Phone/Text-to-Web/Email/Mail-to-Web,9.7,Arizona,10/06/24,10/19/24,213392,1336,lv,lv,8769,REP,Donald Trump,54.1
88806,1528,AtlasIntel,3.4,0.1,Online Ad,6.6,Pennsylvania,10/07/24,10/17/24,213393,867,rv,rv,8770,DEM,Donald Trump,56.5
88807,1528,AtlasIntel,2.3,-1.4,Live Phone/Text-to-Web/Email/Mail-to-Web,6.3,Wisconsin,10/11/24,10/18/24,213394,1260,lv,lv,8771,DEM,Donald Trump,44.2
88808,1528,Washington Post/George Mason University,3.1,-1.3,Online Ad,5.2,Arizona,10/02/24,10/20/24,213395,2070,lv,lv,8772,REP,Kamala Harris,46.5
88809,1528,Washington Post/George Mason University,2.6,0.1,Live Phone/Text-to-Web/Email/Mail-to-Web,6.6,Wisconsin,10/02/24,10/20/24,213396,2243,rv,rv,8773,REP,Kamala Harris,56.0
88810,1528,AtlasIntel,2.3,-1.2,Online Ad,8.2,Arizona,10/14/24,10/19/24,213397,2395,lv,lv,8774,REP,Donald Trump,55.3
88811,1528,Washington Post/George Mason University,2.7,0.4,Online Panel,8.6,North Carolina,10/14/24,10/17/24,213398,848,lv,lv,8775,REP,Kamala Harris,45.0
88812,1528,AtlasIntel,2.0,1.7,Live Phone/Text-to-Web/Email/Mail-to-Web,7.3,Arizona,10/06/24,10/19/24,213399,1163,rv,rv,8776,DEM,Donald Trump,52.4
88813,1528,YouGov,2.7,-1.0,Online Panel,7.4,Georgia,10/06/24,10/17/24,213400,1285,rv,rv,8777,DEM,Kamala Harris,47.6
88814,1528,AtlasIntel,3.5,1.9,Online Ad,6.2,Arizona,10/12/24,10/18/24,213401,1013,rv,rv,8778,DEM,Donald Trump,56.7
88815,1528,YouGov,3.4,-0.8,Online Panel,9.1,Wisconsin,10/09/24,10/19/24,213402,972,lv,lv,8779,DEM,Donald Trump,51.2
88816,1528,Washington Post/George Mason University,3.0,-0.2,Online Panel,9.4,North Carolina,10/03/24,10/17/24,213403,2031,rv,rv,8780,DEM,Donald Trump,55.9
88817,1528,YouGov,2.0,-1.6,Online Panel,9.5,Michigan,10/03/24,10/19/24,213404,1511,lv,lv,8781,DEM,Kamala Harris,42.3
88818,1528,Washington Post/George Mason University,2.8,1.1,Online Panel,9.8,Wisconsin,10/05/24,10/16/24,213405,2103,lv,lv,8782,REP,Donald Trump,42.7
88819,1528,AtlasIntel,2.2,0.1,Online Panel,6.6,Nevada,10/09/24,10/17/24,213406,694,rv,rv,8783,DEM,Donald Trump,45.7
88820,1528,Washington Post/George Mason University,2.9,-1.6,Online Ad,5.0,Georgia,10/09/24,10/16/24,213407,1968,lv,lv,8784,REP,Kamala Harris,53.5
88821,1528,YouGov,3.0,-0.3,Online Ad,8.6,Nevada,10/03/24,10/16/24,213408,1585,rv,rv,8785,DEM,Donald Trump,51.7
88822,1528,Washington Post/George Mason University,2.3,1.1,Online Ad,8.1,Georgia,10/05/24,10/18/24,213409,897,rv,rv,8786,REP,Kamala Harris,59.5
88823,1528,AtlasIntel,2.2,1.0,Live Phone/Text-to-Web/Email/Mail-to-Web,8.4,Nevada,10/11/24,10/19/24,213410,1386,rv,rv,8787,REP,Donald Trump,41.6
88824,1528,AtlasIntel,3.2,-1.8,Online Panel,8.5,Arizona,10/09/24,10/19/24,213411,1905,lv,lv,8788,REP,Kamala Harris,47.3
88825,1528,AtlasIntel,3.0,-1.4,Online Panel,9.4,Arizona,10/02/24,10/19/24,213412,708,rv,rv,8789,REP,Donald Trump,54.7
88826,1528,AtlasIntel,2.5,1.6,Online Ad,9.7,Georgia,10/14/24,10/18/24,213413,1660,lv,lv,8790,DEM,Donald Trump,54.5
88827,1528,Washington Post/George Mason University,3.5,-0.0,Live Phone/Text-to-Web/Email/Mail-to-Web,8.6,Nevada,10/08/24,10/17/24,213414,740,rv,rv,8791,REP,Kamala Harris,50.2
88828,1528,Washington Post/George Mason University,3.3,-1.0,Online Ad,6.9,Michigan,10/04/24,10/19/24,213415,1687,lv,lv,8792,DEM,Donald Trump,43.0
88829,1528,AtlasIntel,3.2,1.7,Online Panel,6.7,Nevada,10/02/24,10/17/24,213416,1385,rv,rv,8793,DEM,Donald Trump,40.3
88830,1528,YouGov,2.2,0.6,Live Phone/Text-to-Web/Email/Mail-to-Web,6.1,Nevada,10/08/24,10/16/24,213417,913,lv,lv,8794,DEM,Kamala Harris,46.3
88831,1528,Washington Post/George Mason University,3.3,-1.5,Online Panel,8.9,North Carolina,10/10/24,10/20/24,213418,783,lv,lv,8795,REP,Donald Trump,45.7
