poll_id,pollster_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,race_id,party,candidate_name,pct
88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213382,1440.0,lv,lv,8759,DEM,Kamala Harris,48.6
88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213382,1440.0,lv,lv,8759,REP,Donald Trump,49.2
88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213383,1440.0,lv,lv,8759,DEM,Kamala Harris,49.3
88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213383,1440.0,lv,lv,8759,REP,Donald Trump,49.2
88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213384,1411.0,lv,lv,8781,DEM,Kamala Harris,48.1
88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213384,1411.0,lv,lv,8781,REP,Donald Trump,49.5
88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213385,1411.0,lv,lv,8781,DEM,Kamala Harris,48.4
88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213385,1411.0,lv,lv,8781,REP,Donald Trump,50.1
88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213386,1529.0,lv,lv,8820,DEM,Kamala Harris,46.8
88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213386,1529.0,lv,lv,8820,REP,Donald Trump,49.6
88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213387,1529.0,lv,lv,8820,DEM,Kamala Harris,47.3
88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213387,1529.0,lv,lv,8820,REP,Donald Trump,50.2
88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213388,1171.0,lv,lv,8857,DEM,Kamala Harris,48.1
88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213388,1171.0,lv,lv,8857,REP,Donald Trump,48.4
88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213389,1171.0,lv,lv,8857,DEM,Kamala Harris,48.4
88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213389,1171.0,lv,lv,8857,REP,Donald Trump,48.3
88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213390,1674.0,lv,lv,8839,DEM,Kamala Harris,49.5
88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213390,1674.0,lv,lv,8839,REP,Donald Trump,48.8
88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213391,1674.0,lv,lv,8839,DEM,Kamala Harris,50.5
88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213391,1674.0,lv,lv,8839,REP,Donald Trump,48.8
88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213392,2048.0,lv,lv,8872,DEM,Kamala Harris,46.5
88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213392,2048.0,lv,lv,8872,REP,Donald Trump,49.8
88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213393,2048.0,lv,lv,8872,DEM,Kamala Harris,47.4
88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213393,2048.0,lv,lv,8872,REP,Donald Trump,49.9
88801,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,213394,932.0,lv,lv,8905,DEM,Kamala Harris,48.9
88801,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,213394,932.0,lv,lv,8905,REP,Donald Trump,48.2
88801,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,213395,932.0,lv,lv,8905,DEM,Kamala Harris,49.0
88801,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,213395,932.0,lv,lv,8905,REP,Donald Trump,48.4
88762,568,YouGov,3.0,-1.1,Online Panel,9.0,Arizona,10/11/24,10/16/24,213103,1435.0,lv,lv,8759,DEM,Kamala Harris,48.0
88762,568,YouGov,3.0,-1.1,Online Panel,9.0,Arizona,10/11/24,10/16/24,213103,1435.0,lv,lv,8759,REP,Donald Trump,51.0
88809,1460,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Arizona,9/30/24,10/15/24,213462,580.0,rv,rv,8759,DEM,Kamala Harris,44.0
