,unique_id,poll_id,question_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sample_size,population,trump_pct,harris_pct
0,88795-213382,88795,213382,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,1440.0,lv,49.2,48.6
1,88795-213383,88795,213383,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,1440.0,lv,49.2,49.3
2,88796-213384,88796,213384,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,1411.0,lv,49.5,48.1
3,88796-213385,88796,213385,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,1411.0,lv,50.1,48.4
4,88797-213386,88797,213386,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,1529.0,lv,49.6,46.8
5,88797-213387,88797,213387,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,1529.0,lv,50.2,47.3
6,88798-213388,88798,213388,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,1171.0,lv,48.4,48.1
7,88798-213389,88798,213389,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,1171.0,lv,48.3,48.4
8,88799-213390,88799,213390,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,1674.0,lv,48.8,49.5
9,88799-213391,88799,213391,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,1674.0,lv,48.8,50.5
10,88800-213392,88800,213392,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,2048.0,lv,49.8,46.5
11,88800-213393,88800,213393,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,2048.0,lv,49.9,47.4
12,88801-213394,88801,213394,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,932.0,lv,48.2,48.9
13,88801-213395,88801,213395,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,932.0,lv,48.4,49.0
14,88762-213103,88762,213103,YouGov,3.0,-1.1,Online Panel,9.0,Arizona,10/11/24,10/16/24,1435.0,lv,51.0,48.0
15,88809-213462,88809,213462,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Arizona,9/30/24,10/15/24,580.0,rv,50.0,44.0
16,88809-213502,88809,213502,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Arizona,9/30/24,10/15/24,580.0,lv,49.0,46.0
17,88810-213463,88810,213463,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Georgia,9/30/24,10/15/24,730.0,rv,44.0,50.0
18,88810-213503,88810,213503,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Georgia,9/30/24,10/15/24,730.0,lv,47.0,51.0
19,88811-213464,88811,213464,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Michigan,9/30/24,10/15/24,687.0,rv,47.0,46.0
20,88811-213504,88811,213504,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Michigan,9/30/24,10/15/24,687.0,lv,47.0,49.0
21,88812-213465,88812,213465,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Nevada,9/30/24,10/15/24,652.0,rv,44.0,47.0
22,88812-213505,88812,213505,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Nevada,9/30/24,10/15/24,652.0,lv,48.0,48.0
23,88813-213466,88813,213466,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,North Carolina,9/30/24,10/15/24,965.0,rv,49.0,45.0
24,88813-213506,88813,213506,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,North Carolina,9/30/24,10/15/24,965.0,lv,50.0,47.0
25,88814-213467,88814,213467,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Pennsylvania,9/30/24,10/15/24,707.0,rv,46.0,49.0
26,88814-213507,88814,213507,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Pennsylvania,9/30/24,10/15/24,707.0,lv,47.0,49.0
27,88815-213468,88815,213468,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Wisconsin,9/30/24,10/15/24,695.0,rv,46.0,50.0
28,88815-213508,88815,213508,Washington Post/George Mason University,2.7,-0.8,Live Phone/Text-to-Web/Email/Mail-to-Web,9.0,Wisconsin,9/30/24,10/15/24,695.0,lv,47.0,50.0
29,88734-212958,88734,212958,Quinnipiac,2.8,-0.5,Live Phone,9.0,Georgia,10/10/24,10/14/24,1328.0,lv,52.0,45.0
30,88734-212960,88734,212960,Quinnipiac,2.8,-0.5,Live Phone,9.0,Georgia,10/10/24,10/14/24,1328.0,lv,52.0,46.0
31,88735-212959,88735,212959,Quinnipiac,2.8,-0.5,Live Phone,9.0,North Carolina,10/10/24,10/14/24,1031.0,lv,47.0,49.0
32,88735-212961,88735,212961,Quinnipiac,2.8,-0.5,Live Phone,9.0,North Carolina,10/10/24,10/14/24,1031.0,lv,47.0,50.0
33,88776-213298,88776,213298,East Carolina University,2.6,-0.5,IVR/Text-to-Web,7.0,Georgia,10/9/24,10/14/24,701.0,lv,48.9,45.8
34,88664-212457,88664,212457,Siena/NYT,3.0,-1.5,Live Phone,9.0,Pennsylvania,10/7/24,10/10/24,857.0,rv,47.0,50.0
